6/20/2013,ME+14,7968448.00,3702682.00
6/21/2013,ME+15,10781992.00,6084885.00
6/24/2013,ME+16,10944874.00,5105436.00
6/25/2013,ME+17,10125467.00,4568235.00
6/26/2013,ME+18,9635050.00,4256919.00
6/27/2013,ME-1,20022403.00,9822996.00
6/28/2013,ME,13858305.00,5300522.00
7/1/2013,ME+1,25653922.00,18452334.00
7/2/2013,ME+2,12222488.00,5078835.00
7/3/2013,ME+3,7431568.00,3153694.00
7/5/2013,ME+4,6866638.00,3068649.00
7/8/2013,ME+5,8325692.00,3673787.00
7/9/2013,ME+6,7031749.00,2894932.00
7/10/2013,ME+7,6996871.00,3995185.00
7/11/2013,ME+8,7049310.00,3243833.00
7/12/2013,ME+9,7522531.00,4225788.00
7/15/2013,ME+10,21671681.00,6200945.00
7/16/2013,ME+11,9926387.00,3812006.00
7/17/2013,ME+12,6767714.00,3412384.00
7/18/2013,ME+13,6511456.00,3417659.00
7/19/2013,ME+14,7541372.00,3837631.00
7/22/2013,ME+15,7006403.00,3354223.00
7/23/2013,ME+16,6835896.00,3399777.00
7/24/2013,ME+17,6788916.00,3122180.00
7/25/2013,ME+18,8650158.00,3611072.00
7/26/2013,ME+19,7880046.00,3073258.00
7/29/2013,ME+20,8093183.00,4065117.00
7/30/2013,ME-1,18516123.00,9548535.00
7/31/2013,ME,9695276.00,4753808.00
8/1/2013,ME+1,24424526.00,12293130.00
8/2/2013,ME+2,9938215.00,3834996.00
8/5/2013,ME+3,7288072.00,3068619.00
8/6/2013,ME+4,5768911.00,2666015.00
8/7/2013,ME+5,6863062.00,3168116.00
8/8/2013,ME+6,6109527.00,2686593.00
8/9/2013,ME+7,6265464.00,2719139.00
8/12/2013,ME+8,6432468.00,2917818.00
8/13/2013,ME+9,5602068.00,2862555.00
8/14/2013,ME+10,6903374.00,3375503.00
8/15/2013,ME+11,9413103.00,3658797.00
8/16/2013,ME+12,8354710.00,3486395.00
8/19/2013,ME+13,7041689.00,3145718.00
8/20/2013,ME+14,6885660.00,3208572.00
8/21/2013,ME+15,6244052.00,3007910.00
8/22/2013,ME+16,5676473.00,2657481.00
8/23/2013,ME+17,6789535.00,2814802.00
8/26/2013,ME+18,7769313.00,3306616.00
8/27/2013,ME+19,5649251.00,2916939.00
8/28/2013,ME+20,5879891.00,3233095.00
8/29/2013,ME-1,17230029.00,8718129.00
8/30/2013,ME,8944272.00,4215365.00
9/3/2013,ME+1,24968280.00,12361545.00
9/4/2013,ME+2,8998816.00,3609736.00
9/5/2013,ME+3,6059504.00,2803650.00
9/6/2013,ME+4,6435619.00,3028229.00
9/9/2013,ME+5,8639910.00,3642642.00
9/10/2013,ME+6,8828742.00,2995448.00
9/11/2013,ME+7,8621869.00,3566497.00
9/12/2013,ME+8,6890974.00,2965156.00
9/13/2013,ME+9,14249013.00,12859593.00
9/16/2013,ME+10,12431085.00,3952197.00
9/17/2013,ME+11,13074748.00,3598547.00
9/18/2013,ME+12,21162369.00,14812657.00
9/19/2013,ME+13,7084073.00,3594841.00
9/20/2013,ME+14,9826881.00,4719983.00
9/23/2013,ME+15,9935993.00,4647816.00
9/24/2013,ME+16,7431439.00,3616371.00
9/25/2013,ME+17,9192734.00,4236253.00
9/26/2013,ME+18,7778314.00,3583701.00
9/27/2013,ME-1,19320786.00,8909367.00
9/30/2013,ME,14922757.00,5585437.00
